# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: Project 2
# Creation date: 11/13/2021 15:46:51
# 
# 11/13/2021 15:46:52
# The parameters defined in the project are:
# ,P1 - rotor_thickness [mm],P2 - rotor_OD [mm],P3 - rotor_ID [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3
DP 0,25,125,75
# 
# A non parametric change occurred and invalidated design point results.
# 11/13/2021 16:10:04
# 
# 
# 11/13/2021 17:50:17
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - rotor_thickness [mm],P2 - rotor_OD [mm],P3 - rotor_ID [mm],P4 - Total Deformation Reported Frequency [Hz],P5 - Equivalent Stress Maximum [MPa],P6 - Temperature Maximum [C]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6
DP 29,27.5,160,90,1019.5082205566594,16.640632955802179,334.8916015625
DP 1,25.019114993629046,124.00508795352653,66.467347749508917,1711.8740400968745,15.231973026796604,338.64553833007813
DP 2,25.130326522630639,124.21491594100371,89.994352092035115,1275.0450502765405,15.265564769058306,337.37960815429688
DP 1,15,124,66,1421.0957146955475,13.993859508828445,412.5040283203125
DP 2,15,124,90,1162.5286974918354,12.54053083750239,414.11325073242188
DP 3,15,142,78,1163.4988223467169,16.24359029772727,415.03948974609375
DP 4,15,160,66,753.74441972323837,20.661404340247362,408.51998901367188
DP 5,15,160,90,894.54432616700785,14.099634521996201,412.3934326171875
DP 6,17.5,133,72,1360.1327431707223,11.00879314141204,383.5340576171875
DP 7,17.5,133,84,1269.163985343175,11.179128802896344,383.69168090820313
DP 8,17.5,142,78,1200.7061824775556,11.34257933363925,384.3560791015625
DP 9,17.5,151,72,1011.5719064544214,10.657658394904876,378.00698852539063
DP 10,17.5,151,84,1023.9210666891431,12.320811954187917,382.899658203125
DP 11,20,124,78,1502.660677921921,17.154048498294529,364.657958984375
DP 12,20,133,78,1376.0995729543088,21.341455239124542,362.4088134765625
DP 13,20,142,66,1163.8918589599632,17.251701035835332,363.25790405273438
DP 14,20,142,72,1224.7539574163325,20.264439766522,363.6424560546875
DP 15,20,142,78,1234.7285491055629,19.33927961075857,363.54248046875
DP 16,20,142,84,1176.5921711977235,17.409634388134887,364.04483032226563
DP 17,20,142,90,1117.7039748302097,13.233054227934419,362.44451904296875
DP 18,20,151,78,1095.4995904062109,20.31926986123651,365.313720703125
DP 19,20,160,78,970.69285962659046,20.663127719576384,360.71273803710938
DP 20,22.5,133,72,1459.7950454922627,11.290931680156909,349.1676025390625
